代码,名称,暂停申购起始日,恢复申购日期,单日申购上限(万元),暂停申购天数,暂停申购原因,投资类型,基金成立年限,去年净值增长率,同类平均收益率,"同类基金区间收益排名
","同类基金区间收益排名(百分比)
","报告期净值增长率
[报告期]去年年报
过去1年
","报告期业绩比较基准增长率
","报告期净值增长率减基准增长率
","报告期净值增长率标准差减基准标准差
",基金规模2020,基金规模2018,基金规模2019,基金规模排名
002195.OF,中银机构现金管理货币,2019-04-26,2019-05-30,500,34,保护基金份额持有人利益,货币式基金,4.389041096,2.744929648,2.546879012,151/649,23.26656394,2.7317,0.3549,2.3768,0.002,158.629447,151.5435408,179.2092495,155/9376
006164.OF,融通通捷债券,2020-03-18,2020-04-22,100,35,"为保证基金的平稳运作,保护基金份额持有人利益。",长期纯债型基金,1.457534247,4.664841017,5.973972239,990/2272,43.57394366,4.64,1.31,3.33,0,6.476023715,——,1.20804752,2825/9376
004211.OF,金鹰周期优选混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰周期优选灵活配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,2.252054795,15.10223048,31.39015396,2136/2986,71.53382451,15.1,23.23,-8.13,0.07,0.513775526,——,1.897430134,6792/9376
004044.OF,金鹰转型动力混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰转型动力灵活配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,2.454794521,15.67594683,31.39015396,2102/2986,70.39517749,15.68,23.23,-7.55,0.06,5.744779861,8.538413004,3.627352529,2982/9376
002844.OF,金鹰多元策略混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰多元策略灵活配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,3.726027397,48.48067882,31.39015396,637/2986,21.33288681,48.51,20.09,28.42,0.73,1.064226897,2.639344949,0.520982543,5694/9376
001951.OF,金鹰改革红利混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰改革红利灵活配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,4.41369863,30.8056872,31.39015396,1439/2986,48.19156062,30.81,23.23,7.58,0.61,0.571832927,2.14216926,0.870742169,6639/9376
001298.OF,金鹰民族新兴混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰民族新兴灵活配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,4.915068493,44.9223417,31.39015396,784/2986,26.25586068,44.92,23.23,21.69,0.83,1.088415829,1.090959412,0.616892062,5650/9376
001167.OF,金鹰科技创新股票,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰科技创新股票型证券投资基金基金份额持有人的利益。,普通股票型基金,5.005479452,40.16227181,37.97667335,439/1097,40.01823154,40.45,29.59,10.86,0.32,4.681877679,9.632425668,5.557776486,3307/9376
210009.OF,金鹰核心资源混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰核心资源混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,7.942465753,37.67313091,31.39015396,1141/2986,38.21165439,37.67,27.99,9.68,0.38,6.086847546,18.91616992,8.701383379,2907/9376
210008.OF,金鹰策略配置混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰策略配置混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,8.668493151,26.2106677,31.39015396,1616/2986,54.11922304,26.22,27.99,-1.77,0.75,1.56373359,0.577433389,0.41929155,5100/9376
210004.OF,金鹰稳健成长混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰稳健成长混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,10.05205479,40.81858474,31.39015396,995/2986,33.32217013,40.82,27.99,12.83,0.46,7.436432358,16.96753727,8.948777453,2641/9376
210003.OF,金鹰行业优势混合,2020-02-24,2020-03-30,30,35,为保证本基金的稳定运作以及为保护金鹰行业优势混合型证券投资基金基金份额持有人的利益。,偏股混合型基金,10.83835616,42.81200651,31.39015396,906/2986,30.34159411,42.83,27.99,14.84,0.61,1.588277626,1.888827508,1.339552195,5073/9376
005907.OF,招商丰茂灵活混合发起式C,2019-12-30,2020-02-03,100,35,"为了保证基金的平稳运作,维护基金持有人利益。",偏股混合型基金,1.863013699,9.269521411,31.39015396,2527/2986,84.62826524,9.25,13.93,-4.68,-0.03,4.717251934,——,0.095813711,3298/9376
960021.OF,国富潜力组合混合H,2019-11-20,2019-12-25,1000,35,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",偏股混合型基金,4.065753425,52.1418701,31.39015396,490/2986,16.40991293,52.14,31.1,21.04,0.16,0.003657605,0.000292349,0.001348395,9013/9376
450003.OF,国富潜力组合混合A,2019-11-20,2019-12-25,1000,35,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",偏股混合型基金,13.11780822,52.08713096,31.39015396,495/2986,16.57736102,52.09,31.1,20.99,0.16,17.77113964,14.40173208,11.14538685,1514/9376
450009.OF,国富中小盘股票,2019-11-06,2019-12-11,1000,35,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",普通股票型基金,9.44109589,44.52557889,37.97667335,317/1097,28.8969918,44.53,28.52,16.01,-0.16,27.24792457,16.01315506,21.38632548,1090/9376
004838.OF,信达澳银安益纯债,2019-12-31,2020-02-05,10,36,"为保证基金的平稳运作,保护基金份额持有人的利益",长期纯债型基金,2.153424658,3.456740826,5.973972239,1728/2272,76.05633803,3.44,1.21,2.23,-0.02,5.138150549,——,23.28202691,3186/9376
005376.OF,北信瑞丰华丰灵活配置,2019-11-04,2019-12-10,1,36,"为保护基金份额持有人的利益,根据《北信瑞丰华丰灵活配置混合型证券投资基金基金合同》和《北信瑞丰华丰灵活配置混合型证券投资基金招募说明书》的有关规定,暂停本基金1万元以上的大额申购(含转换转入、定期定额投资)业务。",偏股混合型基金,2.117808219,22.77489643,31.39015396,1762/2986,59.0087073,22.75,21.82,0.93,0.05,1.717683778,——,1.009877394,4951/9376
040011.OF,华安核心优选混合,2019-08-22,2019-09-27,100,36,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年8月22日起暂停华安核心优选混合型证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,11.52876712,41.80052822,31.39015396,955/2986,31.9825854,41.82,29.64,12.18,0.29,11.41564134,1.562027278,13.1107477,1998/9376
001714.OF,工银文体产业股票,2019-06-03,2019-07-09,100,36,保护基金持有人利益。,普通股票型基金,4.336986301,57.59507768,37.97667335,124/1097,11.30355515,57.6,21.4,36.2,0.08,46.31179015,3.007067411,4.22435902,669/9376
675161.OF,西部利得汇盈债券A,2019-10-14,2019-11-20,2,37,保护基金份额持有人利益,长期纯债型基金,2.098630137,3.565422351,5.973972239,1663/2272,73.19542254,3.55,1.31,2.24,0.02,0.000133463,——,1.004331556,9265/9376
675163.OF,西部利得汇盈债券C,2019-10-14,2019-11-20,2,37,保护基金份额持有人利益,长期纯债型基金,2.098630137,3.427064691,5.973972239,1743/2272,76.7165493,3.41,1.31,2.1,0.02,1.035388738,——,2.127579193,5739/9376
000251.OF,工银金融地产混合,2019-09-03,2019-10-10,100,37,保护基金持有人利益。,偏股混合型基金,6.682191781,41.45217699,31.39015396,970/2986,32.48492967,41.45,27.62,13.83,0.17,44.91460862,20.49111151,29.54995796,686/9376
340001.OF,兴全可转债混合,2019-05-20,2019-06-26,100,37,"为了保证基金的平稳运作,保护基金持有人利益。",偏债混合型基金,15.98082192,24.74970599,31.39015396,1677/2986,56.16208975,24.75,25.51,-0.76,-0.09,46.35137727,28.56538823,30.10677012,667/9376
004764.OF,中科沃土沃嘉混合C,2019-04-30,2019-06-06,10,37,"保护基金份额持有人的利益,加强基金投资运作的稳定性。",偏股混合型基金,2.4,7.265166341,31.39015396,2655/2986,88.91493637,7.28,18.69,-11.41,-0.15,0.072054417,1.727611433,0.049622833,8341/9376
370024.OF,上投摩根核心优选混合,2018-11-19,2018-12-26,100,37,"为保证上投摩根核心优选混合型证券投资基金的稳定运作,保护基金份额持有人利益",偏股混合型基金,7.424657534,61.16611703,31.39015396,254/2986,8.506363027,61.25,31.31,29.94,0.31,7.51775326,11.06771075,12.3574648,2623/9376
040004.OF,华安宝利配置混合,2019-08-12,2019-09-19,50,38,"为了保证基金的平稳运作,保护基金持有人利益,本基金管理人决定自2019年8月12日起暂停华安宝利配置证券投资基金的大额申购、大额转换转入及定期定额投资业务。",偏股混合型基金,15.69315068,54.02085802,31.39015396,436/2986,14.60147354,54.02,19.87,34.15,0.6,19.59116408,15.98916486,12.44080397,1418/9376
450018.OF,国富恒久信用债券A,2018-07-31,2018-09-07,1000,38,"为保护基金份额持有人的利益,加强基金投资
运作的稳定性",长期纯债型基金,7.638356164,7.726481091,5.973972239,388/2272,17.07746479,7.71,0.9,6.81,0.06,0.157274525,0.713030909,2.696847921,7877/9376
450019.OF,国富恒久信用债券C,2018-07-31,2018-09-07,1000,38,"为保护基金份额持有人的利益,加强基金投资
运作的稳定性",长期纯债型基金,7.638356164,7.358623194,5.973972239,419/2272,18.44190141,7.34,0.9,6.44,0.06,0.020157811,0.011196607,0.008748399,8754/9376
001866.OF,北信瑞丰新成长,2019-11-04,2019-12-13,1,39,"为保护基金份额持有人的利益,根据《北信瑞丰新成长灵活配置混合型证券投资基金基金合同》和《北信瑞丰新成长灵活配置混合型证券投资基金招募说明书》的有关规定,暂停本基金1万元以上的大额申购(含转换转入、定期定额投资)业务。",偏股混合型基金,4.471232877,22.64367739,31.39015396,1767/2986,59.17615539,22.64,13.12,9.52,0.18,1.694970705,1.580641385,0.78275742,4971/9376
020015.OF,国泰区位优势混合,2019-10-28,2019-12-06,500,39,保护基金份额持有人利益,偏股混合型基金,10.93424658,57.89751747,31.39015396,335/2986,11.2190221,57.9,29.43,28.47,0.29,2.96910241,2.778887366,1.226990138,3989/9376
004398.OF,融通现金宝货币B,2019-07-01,2019-08-09,2000,39,"为保证基金的平稳运作, 保护基金份额持有人利益。",货币式基金,3.180821918,2.720396035,2.546879012,178/649,27.42681048,2.71,0.35,2.36,0.0015,13.16226389,29.34625647,15.71741514,1853/9376
002788.OF,融通现金宝货币A,2019-07-01,2019-08-09,2000,39,"为保证基金的平稳运作, 保护基金份额持有人利益。",货币式基金,3.471232877,2.473121817,2.546879012,436/649,67.18027735,2.4634,0.35,2.1134,0.0015,2.096242124,5.860736954,3.593587934,4593/9376
001430.OF,中邮乐享收益灵活配置混合,2019-11-01,2019-12-11,10,40,为保护本基金现有份额持有人利益。,偏股混合型基金,4.879452055,23.31288343,31.39015396,1741/2986,58.30542532,23.31,3.11,20.2,0.63,0.516973861,7.192177406,0.0261507,6777/9376
570001.OF,诺德价值优势混合,2019-06-05,2019-07-15,500,40,"为了保证基金的平稳运作,保护基金份额持有人的利益。",偏股混合型基金,13.04109589,27.19838965,31.39015396,1578/2986,52.84661755,27.22,29.43,-2.21,0.22,11.16949255,10.72624012,7.928237559,2015/9376
001957.OF,嘉合磐通A,2019-12-31,2020-02-10,500,41,"为了保证基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,2.265753425,10.93903156,5.973972239,201/2272,8.846830986,10.9,8.26,2.64,-0.06,7.099669652,——,0.00703255,2708/9376
001958.OF,嘉合磐通C,2019-12-31,2020-02-10,500,41,"为了保证基金的平稳运作,保护基金份额持有人利益",混合债券型基金（二级）,2.265753425,10.78055965,5.973972239,208/2272,9.154929577,10.74,8.26,2.48,-0.06,2.952710923,——,0.765257089,3995/9376
162212.OF,泰达宏利红利先锋混合,2019-07-16,2019-08-26,10,41,"为保证本基金的稳定运作,保护基金份额持有人利益,根据基金合同的相关规定,本基金管理人决定于2019年7月16日起暂停本基金的大额申购、大额转换转入及大额定期定额投资业务。",偏股混合型基金,10.41369863,37.09648497,31.39015396,1174/2986,39.31681179,37.1,13.15,23.95,0.18,1.006017083,1.643207759,1.159291201,5795/9376
162202.OF,泰达宏利周期混合,2019-07-16,2019-08-26,10,41,"为保证本基金的稳定运作,保护基金份额持有人利益,根据基金合同的相关规定,本基金管理人决定于2019年7月16日起暂停本基金的大额申购、大额转换转入及大额定期定额投资业务。",偏股混合型基金,17.02739726,47.79568854,31.39015396,673/2986,22.53851306,47.81,15.49,32.32,0.56,1.674937078,2.350663298,1.545052478,4987/9376
519191.OF,万家新利灵活配置混合,2019-05-24,2019-07-04,100,41,"为了保证基金的平稳运作,保护基金份额持有人的利益。",偏股混合型基金,6.268493151,30.34386279,31.39015396,1458/2986,48.82786336,30.36,20.09,10.27,0.75,7.271917133,11.78186178,9.536790939,2671/9376
450002.OF,国富弹性市值混合,2019-03-25,2019-05-06,1000,42,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",偏股混合型基金,13.88767123,40.17060327,31.39015396,1026/2986,34.36034829,40.18,25.37,14.81,0.17,35.28688313,32.39289485,29.77900348,858/9376
000531.OF,东吴阿尔法灵活配置混合,2018-03-09,2018-04-20,1,42,"为保证东吴阿尔法灵活配置混合型证券投资基金的稳定运作,保护基金份额持有人利益,故暂停东吴阿尔法灵活配置混合型证券投资基金的大额申购(含转换转入)业务。",偏股混合型基金,6.120547945,35.16949153,31.39015396,1260/2986,42.19691896,35.17,23.9,11.27,0.41,0.548060998,1.408276065,3.053491848,6687/9376
519126.OF,浦银安盛新经济结构混合,2019-08-29,2019-10-11,100,43,"保护现有基金份额持有人的利益,加强基金投资运作的稳定性。",偏股混合型基金,5.950684932,62.62513904,31.39015396,219/2986,7.33422639,62.63,17.03,45.6,0.53,1.21363086,0.712460752,0.552099793,5483/9376
003072.OF,中融睿祥纯债C,2020-03-04,2020-04-17,0.1,44,"保护基金份额持有人利益,保持基金的平稳运行",长期纯债型基金,2.684931507,5.414847162,5.973972239,699/2272,30.76584507,5.39,4.59,0.8,-0.01,2.716913586,0.001066246,0.00088223,4127/9376
690005.OF,民生加银内需增长混合,2019-11-04,2019-12-19,100,45,"为了保证基金的平稳运作,保护基金份额持有人利益。",偏股混合型基金,9.260273973,72.80053135,31.39015396,87/2986,2.913596785,72.93,29.43,43.5,0.35,5.000119474,2.312747097,1.504970761,3238/9376
003327.OF,万家鑫璟纯债A,2018-04-23,2018-06-07,100,45,"为了保证基金的平稳运作,保护基金份额持有人的利益。",长期纯债型基金,3.616438356,6.901153171,5.973972239,467/2272,20.55457746,6.87,4.28,2.59,0.04,22.82777222,4.999114756,2.03045253,1236/9376
003328.OF,万家鑫璟纯债C,2018-04-23,2018-06-07,100,45,"为了保证基金的平稳运作,保护基金份额持有人的利益。",长期纯债型基金,3.616438356,6.681939711,5.973972239,491/2272,21.61091549,6.65,4.28,2.37,0.04,7.002324224,0.00006969,6.53418E-05,2726/9376
180003.OF,银华-道琼斯88指数A,2020-01-17,2020-03-03,100,46,为保护现有基金份额持有人利益,增强指数型基金,15.72876712,36.4060072,37.97667335,570/1097,51.95989061,36.42,38.81,-2.39,-0.03,17.57663107,26.18765778,18.49825014,1527/9376
180001.OF,银华优势企业混合,2020-01-17,2020-03-03,100,46,为保护现有基金份额持有人利益,平衡混合型基金,17.4739726,48.58065239,31.39015396,633/2986,21.19892833,48.58,24.34,24.24,0.28,7.753837195,9.474492054,6.199166066,2592/9376
005251.OF,银华多元动力灵活配置混合,2019-08-26,2019-10-11,100,46,为最大限度保护现有基金份额持有人利益,偏股混合型基金,2.378082192,47.2826087,31.39015396,690/2986,23.10783657,47.26,19.88,27.38,0.54,2.574590356,2.475351069,1.516751895,4205/9376
164510.OF,国富恒利债券(LOF)C,2019-03-25,2019-05-10,100,46,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",长期纯债型基金,6.145205479,7.409732293,5.973972239,412/2272,18.13380282,7.4,1.31,6.09,0.04,0.069958619,0.090781419,0.046753134,8355/9376
519003.OF,海富通收益增长混合,2020-01-17,2020-03-04,1000,47,为保护基金份额持有人利益,平衡混合型基金,16.14520548,53.93794771,31.39015396,439/2986,14.7019424,53.94,16.87,37.07,0.69,12.88471544,15.99542526,10.00124002,1875/9376
005678.OF,安信尊享添益债券A,2019-09-18,2019-11-04,2000,47,保护基金份额持有人的利益。,长期纯债型基金,2.131506849,6.984247485,5.973972239,460/2272,20.24647887,6.96,1.1,5.86,-0.03,87.54938037,——,12.69021993,330/9376
000932.OF,前海开源睿远稳健增利混合A,2019-09-06,2019-10-23,10,47,"为了保证基金的平稳运作,维护基金份额持有人利益。",偏债混合型基金,5.295890411,19.51790849,31.39015396,1896/2986,63.49631614,19.52,9.4,10.12,0.52,2.716731869,0.034268894,0.041880076,4128/9376
000933.OF,前海开源睿远稳健增利混合C,2019-09-06,2019-10-23,10,47,"为了保证基金的平稳运作,维护基金份额持有人利益。",偏债混合型基金,5.295890411,18.73749957,31.39015396,1931/2986,64.66845278,18.74,9.4,9.34,0.53,2.80329269,0.597851007,0.479538464,4080/9376
450001.OF,国富中国收益混合,2020-01-17,2020-03-05,100,48,"为保护基金份额持有人的利益,加强基金投资运作的稳定性",平衡混合型基金,14.92328767,39.59858617,31.39015396,1057/2986,35.39852646,39.6,14.04,25.56,0.3,3.399999015,2.834076927,2.226019403,3748/9376
003204.OF,财通收益增强债券C,2019-07-10,2019-08-27,10,48,"为了保证基金的平稳运作,保护基金份额持有人利益。",混合债券型基金（二级）,3.046575342,4.153069368,5.973972239,1263/2272,55.58978873,4.15,1.31,2.84,0.49,0.086663573,9.967E-07,0.050172674,8270/9376
720003.OF,财通收益增强债券A,2019-07-10,2019-08-27,10,48,"为了保证基金的平稳运作,保护基金份额持有人利益。",混合债券型基金（二级）,7.364383562,4.46102297,5.973972239,1091/2272,48.0193662,4.45,1.31,3.14,0.49,5.938182501,0.348077511,0.295268787,2941/9376
162201.OF,泰达宏利成长混合,2019-05-15,2019-07-02,300,48,"为保证本基金的稳定运作,保护基金份额持有人利益,根据基金合同的相关规定,本基金管理人决定于2019年5月15日起暂停本基金的大额申购、大额转换转入及大额定期定额投资业务。",偏股混合型基金,17.02739726,69.65843776,31.39015396,128/2986,4.286671132,69.68,29.84,39.84,0.58,9.135773898,5.903057562,4.568938528,2392/9376
004814.OF,中欧红利优享灵活配置混合A,2019-04-03,2019-05-21,100,48,"为保证中欧红利优享灵活配置混合型证券投资基金的稳定运作,保护基金份额持有人利益。",偏股混合型基金,2.032876712,44.15617775,31.39015396,827/2986,27.69591427,43.27,17.49,25.78,0.31,0.403932977,——,0.411187938,7074/9376
004815.OF,中欧红利优享灵活配置混合C,2019-04-03,2019-05-21,100,48,"为保证中欧红利优享灵活配置混合型证券投资基金的稳定运作,保护基金份额持有人利益。",偏股混合型基金,2.032876712,43.20206585,31.39015396,882/2986,29.53784327,42.34,17.49,24.85,0.31,0.03422611,——,0.060810874,8615/9376
610002.OF,信达澳银精华配置混合,2020-03-06,2020-04-24,500,49,为保护基金份额持有人的利益,偏股混合型基金,11.75890411,74.07400488,31.39015396,76/2986,2.545210985,74.07,22.96,51.11,0.91,6.923893345,0.71778673,0.594579106,2738/9376
163411.OF,兴全精选混合,2020-02-27,2020-04-16,20,49,"为保证基金的平稳运作,保护基金份额持有人利益",偏股混合型基金,8.747945205,62.39796305,31.39015396,223/2986,7.468184863,62.42,29.44,32.98,0.42,30.6216408,8.285029704,7.789761108,989/9376
